Book ID,Shelf,Title,Author,Format,Type,Series,Part,Author l-f,Additional Authors,ISBN,ISBN13,Rating,Average Rating,Publisher,Binding,Pages,Year Published,Original Publication Year,Date Read,Date Started,Date Added,Shelves,My Review,Private Notes,Read Count,Owned Copies,URL
21504315,read,Acceptance,Jeff VanderMeer,Paperback,Fiction,Southern Reach,3,"VanderMeer, Jeff",,0374104115,9780374104115,5,3.57,FSG Originals,Kindle Edition,354,2014,2014,2018/05/25,2018/04/30,2018/03/14,"fiction, sci-fi",,,1,0,https://www.goodreads.com/book/show/21504315
186074,read,The Name of the Wind,Patrick Rothfuss,Paperback,Fiction,The Kingkiller Chronicle,1,"Rothfuss, Patrick",,075640407X,9780756404079,5,4.55,Penguin Group DAW,Hardcover,662,2007,2007,2018/05/14,2017/09/03,2010/05/23,"fantasy, fiction",,,2,0,https://www.goodreads.com/book/show/186074
36064445,read,Skin in the Game: The Hidden Asymmetries in Daily Life,Nassim Nicholas Taleb,Audiobook,Nonfiction,Incerto,5,"Taleb, Nassim Nicholas",,0241300657,9780241300657,4,3.84,Allen Lane,Paperback,272,2018,2018,2018/05/14,2018/05/12,2018/05/14,"economics, history, nonfiction, psychology, sociology",,,1,0,https://www.goodreads.com/book/show/36064445
37903770,read,Norse Mythology,Neil Gaiman,Audiobook,Fiction,,,"Gaiman, Neil",,0393356183,9780393356182,5,4.1,W. W. Norton & Company,Paperback,304,2018,2017,2018/05/10,2018/05/04,2018/05/04,"fiction, mythology",,,1,0,https://www.goodreads.com/book/show/37903770
20410190,read,Authority,Jeff VanderMeer,Paperback,Fiction,Southern Reach,2,"VanderMeer, Jeff",,0374104107,9780374104108,4,3.51,FSG Originals,Kindle Edition,353,2014,2014,2018/04/30,2018/03/14,2018/03/14,"sci-fi, fiction, horror",,,1,0,https://www.goodreads.com/book/show/20410190
2615,read,The Innovator's Dilemma: The Revolutionary Book that Will Change the Way You Do Business,Clayton M. Christensen,Audiobook,Nonfiction,,,"Christensen, Clayton M.",,0060521996,9780060521998,4,3.97,Harper Paperbacks,Paperback,286,2003,1997,2018/04/13,2018/04/08,2015/03/18,"business, economics, management, nonfiction, technology",,,1,0,https://www.goodreads.com/book/show/2615
350,read,Stranger in a Strange Land,Robert A. Heinlein,Audiobook,Fiction,,,"Heinlein, Robert A.",,0441788386,9780441788385,2,3.91,Ace,Paperback,528,1991,1961,2018/04/02,2018/02/18,2010/04/12,"fiction, sci-fi",,,1,0,https://www.goodreads.com/book/show/350
20410192,read,Annihilation,Jeff VanderMeer,Paperback,Fiction,Southern Reach,1,"VanderMeer, Jeff",,0374104093,9780374104092,4,3.66,FSG Originals,Kindle Edition,210,2014,2014,2018/03/14,2018/03/09,2017/10/11,"sci-fi, fiction, horror",,,1,0,https://www.goodreads.com/book/show/20410192
18245960,read,The Three-Body Problem,Liu Cixin,Kindle,Fiction,Remembrance of Earth's Past,1,"Cixin, Liu",Ken Liu,0765377063,9780765377067,5,4.04,Tor Books,Kindle Edition,400,2014,2007,2018/03/08,2018/02/12,2015/07/26,"fiction, sci-fi, space, mystery",,,1,0,https://www.goodreads.com/book/show/18245960
32191710,read,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Audiobook,Nonfiction,,,"Tyson, Neil deGrasse",,0393609391,9780393609394,4,4.13,W. W. Norton  Company,Hardcover,222,2017,2017,2018/02/17,2018/02/16,2018/02/17,"nonfiction, science, space",,,1,0,https://www.goodreads.com/book/show/32191710
34928122,read,Artemis,Andy Weir,Audiobook,Fiction,,,"Weir, Andy",,0553448129,9780553448122,2,3.67,Crown,Hardcover,305,2017,2017,2018/02/15,2018/02/12,2017/08/28,"adventure, crime, fiction, sci-fi",,,1,0,https://www.goodreads.com/book/show/34928122
31670196,read,"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies",Geoffrey West,Audiobook,Nonfiction,,,"West, Geoffrey",,1594205582,9781594205583,5,4.18,Penguin Press,Hardcover,481,2017,2017,2018/02/15,2018/01/16,2017/12/29,"biology, cities, nonfiction, science, sociology, technology",,,1,0,https://www.goodreads.com/book/show/31670196
18752201,read,Robot Visions,Isaac Asimov,Kindle,Fiction,,,"Asimov, Isaac",,0451450647,9780451450647,4,4.21,Byron Preiss Visual Publications,Kindle Edition,500,2013,1990,2018/02/03,2014/02/17,2013/12/20,"fiction, sci-fi",,,1,0,https://www.goodreads.com/book/show/18752201
20893512,read,The Elements of Eloquence: Secrets of the Perfect Turn of Phrase,Mark Forsyth,Paperback,Nonfiction,,,"Forsyth, Mark",,042527618X,9780425276181,5,4.33,Berkley,Paperback,256,2014,2013,2018/01/27,2017/11/30,2014/11/02,"linguistics, humor, nonfiction, writing","Loved it, I think I only knew a few of the technical terms for all the various forms of rhetoric. This book is informative, interesting, and hilarious.",,1,0,https://www.goodreads.com/book/show/20893512
37908858,read,Intercom on Marketing,Des Traynor,Kindle,Nonfiction,,,"Traynor, Des",Matt Hodges,,9780986139284,4,4.09,Intercom,ebook,140,2018,2018,2018/01/25,2018/01/22,2018/01/22,"business, marketing, management, nonfiction, product",,,1,0,https://www.goodreads.com/book/show/37908858
36691812,read,The Stone Sky,N.K. Jemisin,Kindle,Fiction,The Broken Earth,3,"Jemisin, N.K.",,0356508684,9780356508689,5,4.38,Hachette Book Group,Kindle Edition,464,2017,2017,2018/01/15,2017/12/27,2017/12/27,"alternate-history, apocalyptic, fantasy, fiction, sci-fi",,,1,0,https://www.goodreads.com/book/show/36691812
31138556,read,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Audiobook,Nonfiction,,,"Harari, Yuval Noah","Andreas Wirthensohn, Dương Ngọc Trà, Jürgen Holdorf",1910701882,9781910701881,5,4.3,Harper,Kindle Edition,450,2017,2015,2018/01/12,2017/12/29,2017/12/29,"history, nonfiction, science, sociology, technology",,,1,0,https://www.goodreads.com/book/show/31138556
29952534,read,Connectography: Mapping the Global Network Revolution,Parag Khanna,Kindle,Nonfiction,,,"Khanna, Parag",,0812988558,9780812988550,4,3.87,Weidenfeld & Nicolson,Kindle Edition,496,2016,2016,2017/12/24,2017/11/19,2017/11/19,"cities, nonfiction, geography, urbanism, technology, sociology, economics",,,1,0,https://www.goodreads.com/book/show/29952534
